,val_loss
524,"109.7438, "
525,"83.0082, "
526,"108.0022, "
527,"88.5921, "
528,"128.2568, "
529,"92.1151, "
530,"102.9741, "
531,"98.6331, "
532,"83.1889, "
533,"108.9058, "
534,"94.6864, "
535,"101.3276, "
536,"104.6503, "
537,"110.4734, "
538,"133.7038, "
539,"107.5470, "
540,"95.7709, "
541,"99.9060, "
542,"102.8304, "
543,"100.8175, "
544,"107.6793, "
545,"109.7655, "
546,"102.3860, "
547,"99.6442, "
548,"93.6720, "
549,"116.9661, "
550,"112.7292, "
551,"91.7711, "
552,"106.4911, "
553,"103.7649, "
554,"107.1936, "
555,"97.1060, "
556,"101.1235, "
557,"93.3161, "
558,"109.0151, "
559,"124.2848, "
560,"117.5777, "
561,"122.0789, "
562,"119.2685, "
563,"88.8523, "
564,"97.7232, "
565,"109.6125, "
566,"108.6629, "
567,"102.0984, "
568,"104.0844, "
569,"119.7620, "
570,"111.5750, "
571,"117.7411, "
572,"108.5421, "
573,"102.4192, "
574,"118.3791, "
575,"103.4294, "
576,"97.0959, "
577,"95.3769, "
578,"99.1899, "
579,"115.8909, "
580,"111.3552, "
581,"100.3807, "
582,"102.2853, "
583,"102.9407, "
584,"112.8447, "
585,"109.8019, "
586,"108.7319, "
587,"89.0040, "
588,"118.2553, "
589,"120.0779, "
590,"94.2222, "
591,"118.5698, "
592,"116.6021, "
593,"93.0694, "
594,"112.4111, "
595,"105.4250, "
596,"109.5447, "
597,"124.9055, "
598,"99.4814, "
599,"96.2387, "
600,"98.5456, "
601,"123.6596, "
602,"126.1373, "
603,"114.5424, "
604,"109.9892, "
605,"102.3855, "
606,"116.3236, "
607,"92.8342, "
608,"99.4758, "
609,"124.7002, "
610,"125.7867, "
611,"114.9258, "
612,"100.2327, "
613,"110.3868, "
614,"103.1849, "
615,"129.7675, "
616,"108.6159, "
617,"115.2308, "
618,"96.6695, "
619,"96.0291, "
620,"111.1763, "
621,"118.4930, "
622,"105.5848, "
623,"115.2884, "
624,"113.1807, "
625,"103.3658, "
626,"98.0091, "
627,"116.3047, "
628,"111.7206, "
629,"105.0837, "
630,"92.9726, "
631,"111.1308, "
632,"102.5794, "
633,"106.4905, "
634,"99.9878, "
635,"106.7519, "
636,"114.9548, "
637,"113.6108, "
638,"129.4867, "
639,"101.7606, "
640,"100.8599, "
641,"119.5820, "
642,"99.4668, "
643,"96.3900, "
644,"119.7922, "
645,"97.2148, "
646,"109.3115, "
647,"105.9272, "
648,"108.6099, "
649,"91.6814, "
650,"128.3100, "
651,"111.5889, "
652,"109.4916, "
653,"94.2749, "
654,"121.8376, "
655,"124.8828, "
656,"104.4423, "
657,"114.3310, "
658,"119.2512, "
659,"110.3345, "
660,"104.8957, "
661,"92.5914, "
662,"107.3815, "
663,"95.3405, "
664,"96.2410, "
665,"116.7930, "
666,"114.1660, "
667,"104.5570, "
668,"117.7410, "
669,"114.3092, "
670,"101.1057, "
671,"103.1349, "
672,"107.8321, "
673,"106.9367, "
674,"97.6282, "
675,"127.2456, "
676,"114.0645, "
677,"100.8590, "
678,"114.8286, "
679,"111.4357, "
680,"107.4522, "
681,"104.0548, "
682,"116.2702, "
683,"109.6264, "
684,"104.8227, "
685,"114.9482, "
686,"97.3281, "
687,"89.3300, "
688,"115.7578, "
689,"122.1700, "
690,"115.0256, "
691,"119.1753, "
692,"92.5049, "
693,"122.8367, "
694,"105.0802, "
695,"114.3107, "
696,"88.9471, "
697,"123.8304, "
698,"101.1937, "
699,"125.2538, "
700,"122.4680, "
701,"121.8988, "
702,"88.6567, "
703,"118.5145, "
704,"109.1621, "
705,"109.1041, "
706,"100.7632, "
707,"100.9379, "
708,"113.1913, "
709,"111.3263, "
710,"109.5696, "
711,"111.6635, "
712,"106.5062, "
713,"106.5776, "
714,"107.5905, "
715,"103.5344, "
716,"112.1342, "
717,"98.4564, "
718,"109.5555, "
719,"90.3241, "
720,"88.1956, "
721,"121.5577, "
722,"104.5600, "
723,"111.2422, "
724,"94.7793, "
725,"102.8516, "
726,"120.3445, "
727,"101.9106, "
728,"113.3431, "
729,"117.8401, "
730,"124.2420, "
731,"102.9383, "
732,"112.5634, "
733,"135.2398, "
734,"91.9054, "
735,"98.1158, "
736,"110.5962, "
737,"113.1773, "
738,"116.9189, "
739,"115.5492, "
740,"102.0986, "
741,"110.4021, "
742,"126.8307, "
743,"137.2174, "
744,"112.3515, "
745,"108.7026, "
746,"108.2560, "
747,"108.7024, "
748,"116.9063, "
749,"111.5387, "
750,"100.0182, "
751,"95.8387, "
752,"91.5199, "
753,"112.0610, "
754,"111.0628, "
755,"98.2641, "
756,"116.8899, "
757,"101.9013, "
758,"123.8479, "
759,"86.8913, "
760,"97.2982, "
761,"111.5732, "
762,"86.2770, "
763,"113.0931, "
764,"108.7541, "
765,"104.2975, "
766,"80.4088, "
767,"111.5240, "
768,"139.0805, "
769,"104.3482, "
770,"113.0350, "
771,"104.7138, "
772,"112.2691, "
773,"104.3603, "
774,"107.5235, "
775,"115.9834, "
776,"93.5968, "
777,"123.5389, "
778,"105.6117, "
779,"110.3749, "
780,"107.1585, "
781,"112.6094, "
782,"120.5943, "
783,"103.0228, "
784,"114.0015, "
785,"104.5047, "
786,"102.7461, "
787,"118.0718, "
788,"125.4374, "
789,"119.0513, "
790,"102.9369, "
791,"127.4956, "
792,"97.4434, "
793,"105.0546, "
794,"101.0324, "
795,"108.6459, "
796,"101.1767, "
797,"100.3525, "
798,"111.1043, "
799,"118.9731, "
800,"101.2405, "
801,"118.0316, "
802,"100.1041, "
803,"127.7833, "
804,"103.9804, "
805,"111.5981, "
806,"111.4061, "
807,"95.7139, "
808,"122.9101, "
809,"88.3982, "
810,"108.9633, "
811,"104.9217, "
812,"105.6034, "
813,"103.0383, "
814,"92.4693, "
815,"111.7682, "
816,"121.3720, "
817,"114.5009, "
818,"108.2058, "
819,"107.7257, "
820,"109.0196, "
821,"120.1235, "
822,"100.9107, "
823,"90.9605, "
824,"115.4229, "
825,"130.1923, "
826,"95.5682, "
827,"108.3705, "
828,"88.5541, "
829,"119.5538, "
830,"112.3638, "
831,"109.1956, "
832,"107.3583, "
833,"92.6406, "
834,"99.4043, "
835,"122.9077, "
836,"99.1566, "
837,"115.3039, "
838,"111.0772, "
839,"85.6047, "
840,"113.3981, "
841,"95.2183, "
842,"122.2590, "
843,"111.2440, "
844,"102.8131, "
845,"83.4546, "
846,"131.9535, "
